Song,Uri,Artist,Audio_features
Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,Macklemore & Ryan Lewis,"[{'danceability': 0.641, 'energy': 0.922, 'key': 2, 'loudness': -4.457, 'mode': 1, 'speechiness': 0.0786, 'acousticness': 0.0291, 'instrumentalness': 0, 'liveness': 0.0862, 'valence': 0.847, 'tempo': 146.078, 'type': 'audio_features', 'id': '3bidbhpOYeV4knp8AIu8Xn', 'uri': 'spotify:track:3bidbhpOYeV4knp8AIu8Xn', 'track_href': 'https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3bidbhpOYeV4knp8AIu8Xn', 'duration_ms': 258343, 'time_signature': 4}]"
She Wolf (Falling to Pieces) [feat. Sia],1HfPcQ3c2HyGeID3u1lmCa,David Guetta,"[{'danceability': 0.491, 'energy': 0.857, 'key': 7, 'loudness': -2.634, 'mode': 1, 'speechiness': 0.0656, 'acousticness': 0.0834, 'instrumentalness': 7.57e-06, 'liveness': 0.344, 'valence': 0.395, 'tempo': 129.971, 'type': 'audio_features', 'id': '1HfPcQ3c2HyGeID3u1lmCa', 'uri': 'spotify:track:1HfPcQ3c2HyGeID3u1lmCa', 'track_href': 'https://api.spotify.com/v1/tracks/1HfPcQ3c2HyGeID3u1lmCa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1HfPcQ3c2HyGeID3u1lmCa', 'duration_ms': 222500, 'time_signature': 4}]"
Radioactive,6Ep6BzIOB9tz3P4sWqiiAB,Imagine Dragons,"[{'danceability': 0.473, 'energy': 0.777, 'key': 9, 'loudness': -3.698, 'mode': 1, 'speechiness': 0.059, 'acousticness': 0.119, 'instrumentalness': 7.87e-05, 'liveness': 0.671, 'valence': 0.21, 'tempo': 136.249, 'type': 'audio_features', 'id': '6Ep6BzIOB9tz3P4sWqiiAB', 'uri': 'spotify:track:6Ep6BzIOB9tz3P4sWqiiAB', 'track_href': 'https://api.spotify.com/v1/tracks/6Ep6BzIOB9tz3P4sWqiiAB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Ep6BzIOB9tz3P4sWqiiAB', 'duration_ms': 186813, 'time_signature': 4}]"
Whistle,3bC1ahPIYt1btJzSSEyyrF,Flo Rida,"[{'danceability': 0.747, 'energy': 0.937, 'key': 0, 'loudness': -5.746, 'mode': 1, 'speechiness': 0.0453, 'acousticness': 0.0208, 'instrumentalness': 0, 'liveness': 0.29, 'valence': 0.739, 'tempo': 103.976, 'type': 'audio_features', 'id': '3bC1ahPIYt1btJzSSEyyrF', 'uri': 'spotify:track:3bC1ahPIYt1btJzSSEyyrF', 'track_href': 'https://api.spotify.com/v1/tracks/3bC1ahPIYt1btJzSSEyyrF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3bC1ahPIYt1btJzSSEyyrF', 'duration_ms': 224653, 'time_signature': 4}]"
I Need Your Love (feat. Ellie Goulding),05SBRd4fXgn8FX7bf8BCAE,Calvin Harris,"[{'danceability': 0.695, 'energy': 0.869, 'key': 8, 'loudness': -5.066, 'mode': 1, 'speechiness': 0.0483, 'acousticness': 0.41, 'instrumentalness': 0, 'liveness': 0.237, 'valence': 0.58, 'tempo': 124.989, 'type': 'audio_features', 'id': '05SBRd4fXgn8FX7bf8BCAE', 'uri': 'spotify:track:05SBRd4fXgn8FX7bf8BCAE', 'track_href': 'https://api.spotify.com/v1/tracks/05SBRd4fXgn8FX7bf8BCAE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/05SBRd4fXgn8FX7bf8BCAE', 'duration_ms': 234507, 'time_signature': 4}]"
Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,Pitbull,"[{'danceability': 0.581, 'energy': 0.963, 'key': 11, 'loudness': -4.087, 'mode': 1, 'speechiness': 0.0981, 'acousticness': 0.0295, 'instrumentalness': 0, 'liveness': 0.139, 'valence': 0.788, 'tempo': 129.992, 'type': 'audio_features', 'id': '3cHyrEgdyYRjgJKSOiOtcS', 'uri': 'spotify:track:3cHyrEgdyYRjgJKSOiOtcS', 'track_href': 'https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3cHyrEgdyYRjgJKSOiOtcS', 'duration_ms': 204160, 'time_signature': 4}]"
Scream & Shout,2iJuuzV8P9Yz0VSurttIV5,will.i.am,"[{'danceability': 0.772, 'energy': 0.685, 'key': 5, 'loudness': -6.849, 'mode': 1, 'speechiness': 0.0696, 'acousticness': 0.019, 'instrumentalness': 8.96e-05, 'liveness': 0.131, 'valence': 0.501, 'tempo': 130.033, 'type': 'audio_features', 'id': '2iJuuzV8P9Yz0VSurttIV5', 'uri': 'spotify:track:2iJuuzV8P9Yz0VSurttIV5', 'track_href': 'https://api.spotify.com/v1/tracks/2iJuuzV8P9Yz0VSurttIV5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2iJuuzV8P9Yz0VSurttIV5', 'duration_ms': 283400, 'time_signature': 4}]"
Wake Me Up - Radio Edit,6g1NlCpW7fgqDnWbCCDrHl,Avicii,"[{'danceability': 0.532, 'energy': 0.783, 'key': 2, 'loudness': -5.697, 'mode': 1, 'speechiness': 0.0523, 'acousticness': 0.0038, 'instrumentalness': 0.0012, 'liveness': 0.161, 'valence': 0.643, 'tempo': 124.08, 'type': 'audio_features', 'id': '6g1NlCpW7fgqDnWbCCDrHl', 'uri': 'spotify:track:6g1NlCpW7fgqDnWbCCDrHl', 'track_href': 'https://api.spotify.com/v1/tracks/6g1NlCpW7fgqDnWbCCDrHl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6g1NlCpW7fgqDnWbCCDrHl', 'duration_ms': 247427, 'time_signature': 4}]"
Thrift Shop (feat. Wanz),4YMqbFcDIFiCBd02PzUBcM,Macklemore & Ryan Lewis,"[{'danceability': 0.781, 'energy': 0.526, 'key': 6, 'loudness': -6.985, 'mode': 0, 'speechiness': 0.293, 'acousticness': 0.0619, 'instrumentalness': 0, 'liveness': 0.0457, 'valence': 0.662, 'tempo': 94.992, 'type': 'audio_features', 'id': '4YMqbFcDIFiCBd02PzUBcM', 'uri': 'spotify:track:4YMqbFcDIFiCBd02PzUBcM', 'track_href': 'https://api.spotify.com/v1/tracks/4YMqbFcDIFiCBd02PzUBcM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4YMqbFcDIFiCBd02PzUBcM', 'duration_ms': 235613, 'time_signature': 4}]"
Play Hard (feat. Ne-Yo & Akon),5YPMEOJ58kfl56VHxTgwx3,David Guetta,"[{'danceability': 0.691, 'energy': 0.921, 'key': 8, 'loudness': -1.702, 'mode': 0, 'speechiness': 0.0533, 'acousticness': 0.173, 'instrumentalness': 0, 'liveness': 0.331, 'valence': 0.8, 'tempo': 130.072, 'type': 'audio_features', 'id': '5YPMEOJ58kfl56VHxTgwx3', 'uri': 'spotify:track:5YPMEOJ58kfl56VHxTgwx3', 'track_href': 'https://api.spotify.com/v1/tracks/5YPMEOJ58kfl56VHxTgwx3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5YPMEOJ58kfl56VHxTgwx3', 'duration_ms': 201000, 'time_signature': 4}]"
