Song,Uri,Artist,Audio_features
Satellites - Radio Edit,3peFUAm5l0kWIJXy7Q8GYP,Bobby Burns,"[{'danceability': 0.535, 'energy': 0.829, 'key': 4, 'loudness': -4.371, 'mode': 1, 'speechiness': 0.0613, 'acousticness': 0.0713, 'instrumentalness': 2.7e-05, 'liveness': 0.146, 'valence': 0.573, 'tempo': 127.952, 'type': 'audio_features', 'id': '3peFUAm5l0kWIJXy7Q8GYP', 'uri': 'spotify:track:3peFUAm5l0kWIJXy7Q8GYP', 'track_href': 'https://api.spotify.com/v1/tracks/3peFUAm5l0kWIJXy7Q8GYP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3peFUAm5l0kWIJXy7Q8GYP', 'duration_ms': 232519, 'time_signature': 4}]"
Calling (Lose My Mind) - Radio Edit,34NNeV9jfgNgaALgUr0u9V,Sebastian Ingrosso,"[{'danceability': 0.416, 'energy': 0.849, 'key': 1, 'loudness': -4.909, 'mode': 0, 'speechiness': 0.0455, 'acousticness': 0.00864, 'instrumentalness': 0.000138, 'liveness': 0.204, 'valence': 0.147, 'tempo': 125.098, 'type': 'audio_features', 'id': '34NNeV9jfgNgaALgUr0u9V', 'uri': 'spotify:track:34NNeV9jfgNgaALgUr0u9V', 'track_href': 'https://api.spotify.com/v1/tracks/34NNeV9jfgNgaALgUr0u9V', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/34NNeV9jfgNgaALgUr0u9V', 'duration_ms': 205440, 'time_signature': 4}]"
I Just Had Sex,1OmxpKVSvn0LGcM3SQS4OV,The Lonely Island,"[{'danceability': 0.621, 'energy': 0.802, 'key': 6, 'loudness': -4.735, 'mode': 1, 'speechiness': 0.118, 'acousticness': 0.0235, 'instrumentalness': 0, 'liveness': 0.108, 'valence': 0.819, 'tempo': 167.976, 'type': 'audio_features', 'id': '1OmxpKVSvn0LGcM3SQS4OV', 'uri': 'spotify:track:1OmxpKVSvn0LGcM3SQS4OV', 'track_href': 'https://api.spotify.com/v1/tracks/1OmxpKVSvn0LGcM3SQS4OV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1OmxpKVSvn0LGcM3SQS4OV', 'duration_ms': 168200, 'time_signature': 4}]"
Angels Unite (Radio Edit),3UFoVEy7B2yqUMB21yyJm2,Scarlet,"[{'danceability': 0.529, 'energy': 0.876, 'key': 5, 'loudness': -5.649, 'mode': 1, 'speechiness': 0.0337, 'acousticness': 0.00102, 'instrumentalness': 1.92e-05, 'liveness': 0.353, 'valence': 0.282, 'tempo': 144.998, 'type': 'audio_features', 'id': '3UFoVEy7B2yqUMB21yyJm2', 'uri': 'spotify:track:3UFoVEy7B2yqUMB21yyJm2', 'track_href': 'https://api.spotify.com/v1/tracks/3UFoVEy7B2yqUMB21yyJm2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3UFoVEy7B2yqUMB21yyJm2', 'duration_ms': 216566, 'time_signature': 4}]"
Gypsy Drop - Radio Edit,11xsm79HwpWV1C1lMXoVo9,Filip Jenven,"[{'danceability': 0.797, 'energy': 0.962, 'key': 1, 'loudness': -4.239, 'mode': 1, 'speechiness': 0.0906, 'acousticness': 0.000359, 'instrumentalness': 0.767, 'liveness': 0.0454, 'valence': 0.422, 'tempo': 128.047, 'type': 'audio_features', 'id': '11xsm79HwpWV1C1lMXoVo9', 'uri': 'spotify:track:11xsm79HwpWV1C1lMXoVo9', 'track_href': 'https://api.spotify.com/v1/tracks/11xsm79HwpWV1C1lMXoVo9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/11xsm79HwpWV1C1lMXoVo9', 'duration_ms': 180502, 'time_signature': 4}]"
Bigroom Blitz - Radio Mix,1Xcww2gldd5hN6WvGBsbFT,Scooter,"[{'danceability': 0.713, 'energy': 0.909, 'key': 3, 'loudness': -4.274, 'mode': 1, 'speechiness': 0.0306, 'acousticness': 0.00303, 'instrumentalness': 0.000706, 'liveness': 0.699, 'valence': 0.438, 'tempo': 132.022, 'type': 'audio_features', 'id': '1Xcww2gldd5hN6WvGBsbFT', 'uri': 'spotify:track:1Xcww2gldd5hN6WvGBsbFT', 'track_href': 'https://api.spotify.com/v1/tracks/1Xcww2gldd5hN6WvGBsbFT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Xcww2gldd5hN6WvGBsbFT', 'duration_ms': 187273, 'time_signature': 4}]"
Satisfied (feat. VASSY) - Original Mix,6LU68pNqUguPOsjPIaJwo6,Showtek,"[{'danceability': 0.611, 'energy': 0.941, 'key': 0, 'loudness': -1.958, 'mode': 1, 'speechiness': 0.0491, 'acousticness': 0.00326, 'instrumentalness': 0.0205, 'liveness': 0.345, 'valence': 0.589, 'tempo': 128.002, 'type': 'audio_features', 'id': '6LU68pNqUguPOsjPIaJwo6', 'uri': 'spotify:track:6LU68pNqUguPOsjPIaJwo6', 'track_href': 'https://api.spotify.com/v1/tracks/6LU68pNqUguPOsjPIaJwo6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6LU68pNqUguPOsjPIaJwo6', 'duration_ms': 258743, 'time_signature': 4}]"
Gold Skies - Original Mix,4zXQSm5XIkcn5qtmtbwO9O,Sander van Doorn,"[{'danceability': 0.564, 'energy': 0.823, 'key': 9, 'loudness': -6.316, 'mode': 0, 'speechiness': 0.046, 'acousticness': 0.00406, 'instrumentalness': 0.0716, 'liveness': 0.684, 'valence': 0.221, 'tempo': 128.018, 'type': 'audio_features', 'id': '4zXQSm5XIkcn5qtmtbwO9O', 'uri': 'spotify:track:4zXQSm5XIkcn5qtmtbwO9O', 'track_href': 'https://api.spotify.com/v1/tracks/4zXQSm5XIkcn5qtmtbwO9O', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4zXQSm5XIkcn5qtmtbwO9O', 'duration_ms': 329067, 'time_signature': 4}]"
Love Louder - Style Of Eye Remix,2WEiz65hkQPlThgncVH34T,John Martin,"[{'danceability': 0.56, 'energy': 0.854, 'key': 1, 'loudness': -4.878, 'mode': 1, 'speechiness': 0.0669, 'acousticness': 0.00901, 'instrumentalness': 1.07e-06, 'liveness': 0.506, 'valence': 0.274, 'tempo': 126.001, 'type': 'audio_features', 'id': '2WEiz65hkQPlThgncVH34T', 'uri': 'spotify:track:2WEiz65hkQPlThgncVH34T', 'track_href': 'https://api.spotify.com/v1/tracks/2WEiz65hkQPlThgncVH34T', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2WEiz65hkQPlThgncVH34T', 'duration_ms': 373650, 'time_signature': 4}]"
Forbidden Voices,2BF1X5nkYYSb0AUTRaGkDm,Martin Garrix,"[{'danceability': 0.534, 'energy': 0.711, 'key': 10, 'loudness': -5.927, 'mode': 0, 'speechiness': 0.0368, 'acousticness': 0.05, 'instrumentalness': 0.0031, 'liveness': 0.135, 'valence': 0.3, 'tempo': 128.102, 'type': 'audio_features', 'id': '2BF1X5nkYYSb0AUTRaGkDm', 'uri': 'spotify:track:2BF1X5nkYYSb0AUTRaGkDm', 'track_href': 'https://api.spotify.com/v1/tracks/2BF1X5nkYYSb0AUTRaGkDm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2BF1X5nkYYSb0AUTRaGkDm', 'duration_ms': 230635, 'time_signature': 4}]"
Salsa Tequila,4WRjqQ6sx5qIcddaIxNTfF,Anders Nilsen,"[{'danceability': 0.661, 'energy': 0.906, 'key': 6, 'loudness': -3.352, 'mode': 1, 'speechiness': 0.125, 'acousticness': 0.131, 'instrumentalness': 4.1e-05, 'liveness': 0.0743, 'valence': 0.638, 'tempo': 127.966, 'type': 'audio_features', 'id': '4WRjqQ6sx5qIcddaIxNTfF', 'uri': 'spotify:track:4WRjqQ6sx5qIcddaIxNTfF', 'track_href': 'https://api.spotify.com/v1/tracks/4WRjqQ6sx5qIcddaIxNTfF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4WRjqQ6sx5qIcddaIxNTfF', 'duration_ms': 199805, 'time_signature': 4}]"
All I Ever Wanted - Radio Edit,3uoqlATyV5IWOhy0LBF7k1,Basshunter,"[{'danceability': 0.645, 'energy': 0.984, 'key': 4, 'loudness': -7.051, 'mode': 1, 'speechiness': 0.0508, 'acousticness': 0.164, 'instrumentalness': 0.00701, 'liveness': 0.164, 'valence': 0.553, 'tempo': 144.954, 'type': 'audio_features', 'id': '3uoqlATyV5IWOhy0LBF7k1', 'uri': 'spotify:track:3uoqlATyV5IWOhy0LBF7k1', 'track_href': 'https://api.spotify.com/v1/tracks/3uoqlATyV5IWOhy0LBF7k1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3uoqlATyV5IWOhy0LBF7k1', 'duration_ms': 176453, 'time_signature': 4}]"
Memories (feat. Kid Cudi),4iMu9le3ytNO3tvgVpQANx,David Guetta,"[{'danceability': 0.561, 'energy': 0.87, 'key': 8, 'loudness': -6.103, 'mode': 1, 'speechiness': 0.343, 'acousticness': 0.0015, 'instrumentalness': 2.82e-06, 'liveness': 0.246, 'valence': 0.498, 'tempo': 129.98, 'type': 'audio_features', 'id': '4iMu9le3ytNO3tvgVpQANx', 'uri': 'spotify:track:4iMu9le3ytNO3tvgVpQANx', 'track_href': 'https://api.spotify.com/v1/tracks/4iMu9le3ytNO3tvgVpQANx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4iMu9le3ytNO3tvgVpQANx', 'duration_ms': 210093, 'time_signature': 4}]"
Trumpsta (Djuro Remix) [feat. Treyy G],3YcXXjmC9cM5Y2x3jUps0p,Contiez,"[{'danceability': 0.973, 'energy': 0.587, 'key': 1, 'loudness': -7.014, 'mode': 1, 'speechiness': 0.242, 'acousticness': 0.00207, 'instrumentalness': 0.38, 'liveness': 0.257, 'valence': 0.195, 'tempo': 128.0, 'type': 'audio_features', 'id': '3YcXXjmC9cM5Y2x3jUps0p', 'uri': 'spotify:track:3YcXXjmC9cM5Y2x3jUps0p', 'track_href': 'https://api.spotify.com/v1/tracks/3YcXXjmC9cM5Y2x3jUps0p', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3YcXXjmC9cM5Y2x3jUps0p', 'duration_ms': 258507, 'time_signature': 4}]"
Moonlight Shadow,6T9vhWadqtG3J3jfYf8kcI,ItaloBrothers,"[{'danceability': 0.577, 'energy': 0.952, 'key': 0, 'loudness': -5.172, 'mode': 1, 'speechiness': 0.0404, 'acousticness': 0.0529, 'instrumentalness': 0.00603, 'liveness': 0.31, 'valence': 0.808, 'tempo': 150.02, 'type': 'audio_features', 'id': '6T9vhWadqtG3J3jfYf8kcI', 'uri': 'spotify:track:6T9vhWadqtG3J3jfYf8kcI', 'track_href': 'https://api.spotify.com/v1/tracks/6T9vhWadqtG3J3jfYf8kcI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6T9vhWadqtG3J3jfYf8kcI', 'duration_ms': 186880, 'time_signature': 4}]"
Colours Of The Rainbow,4fWcyB6ik13xv6QFmORi0H,ItaloBrothers,"[{'danceability': 0.616, 'energy': 0.946, 'key': 0, 'loudness': -6.392, 'mode': 0, 'speechiness': 0.059, 'acousticness': 0.00341, 'instrumentalness': 0.000188, 'liveness': 0.168, 'valence': 0.744, 'tempo': 140.045, 'type': 'audio_features', 'id': '4fWcyB6ik13xv6QFmORi0H', 'uri': 'spotify:track:4fWcyB6ik13xv6QFmORi0H', 'track_href': 'https://api.spotify.com/v1/tracks/4fWcyB6ik13xv6QFmORi0H', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4fWcyB6ik13xv6QFmORi0H', 'duration_ms': 210240, 'time_signature': 4}]"
Honey,6d0eTPJ3JZTwOAwLdl0hOJ,Evelina,"[{'danceability': 0.68, 'energy': 0.633, 'key': 3, 'loudness': -5.236, 'mode': 0, 'speechiness': 0.0344, 'acousticness': 0.0773, 'instrumentalness': 1.57e-06, 'liveness': 0.183, 'valence': 0.501, 'tempo': 149.922, 'type': 'audio_features', 'id': '6d0eTPJ3JZTwOAwLdl0hOJ', 'uri': 'spotify:track:6d0eTPJ3JZTwOAwLdl0hOJ', 'track_href': 'https://api.spotify.com/v1/tracks/6d0eTPJ3JZTwOAwLdl0hOJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6d0eTPJ3JZTwOAwLdl0hOJ', 'duration_ms': 221633, 'time_signature': 4}]"
Pämppää,6xQjgKUjjKgLDfOibSRyRM,Teflon Brothers,"[{'danceability': 0.8, 'energy': 0.887, 'key': 9, 'loudness': -5.038, 'mode': 1, 'speechiness': 0.0632, 'acousticness': 0.113, 'instrumentalness': 0, 'liveness': 0.154, 'valence': 0.526, 'tempo': 109.988, 'type': 'audio_features', 'id': '6xQjgKUjjKgLDfOibSRyRM', 'uri': 'spotify:track:6xQjgKUjjKgLDfOibSRyRM', 'track_href': 'https://api.spotify.com/v1/tracks/6xQjgKUjjKgLDfOibSRyRM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6xQjgKUjjKgLDfOibSRyRM', 'duration_ms': 191991, 'time_signature': 4}]"
Viva La Vida,1mea3bSkSGXuIRvnydlB5b,Coldplay,"[{'danceability': 0.486, 'energy': 0.617, 'key': 5, 'loudness': -7.115, 'mode': 0, 'speechiness': 0.0287, 'acousticness': 0.0954, 'instrumentalness': 3.23e-06, 'liveness': 0.109, 'valence': 0.417, 'tempo': 138.015, 'type': 'audio_features', 'id': '1mea3bSkSGXuIRvnydlB5b', 'uri': 'spotify:track:1mea3bSkSGXuIRvnydlB5b', 'track_href': 'https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1mea3bSkSGXuIRvnydlB5b', 'duration_ms': 242373, 'time_signature': 4}]"
If I Lose Myself,0ett0qCHbl0vdSRFhRSkMc,OneRepublic,"[{'danceability': 0.485, 'energy': 0.699, 'key': 2, 'loudness': -6.017, 'mode': 1, 'speechiness': 0.0479, 'acousticness': 0.096, 'instrumentalness': 0, 'liveness': 0.109, 'valence': 0.242, 'tempo': 140.096, 'type': 'audio_features', 'id': '0ett0qCHbl0vdSRFhRSkMc', 'uri': 'spotify:track:0ett0qCHbl0vdSRFhRSkMc', 'track_href': 'https://api.spotify.com/v1/tracks/0ett0qCHbl0vdSRFhRSkMc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0ett0qCHbl0vdSRFhRSkMc', 'duration_ms': 241560, 'time_signature': 4}]"
In2,3WEmAizxrtQwXEJQRwCrK1,WSTRN,"[{'danceability': 0.553, 'energy': 0.662, 'key': 8, 'loudness': -6.454, 'mode': 0, 'speechiness': 0.129, 'acousticness': 0.342, 'instrumentalness': 0, 'liveness': 0.141, 'valence': 0.561, 'tempo': 98.368, 'type': 'audio_features', 'id': '3WEmAizxrtQwXEJQRwCrK1', 'uri': 'spotify:track:3WEmAizxrtQwXEJQRwCrK1', 'track_href': 'https://api.spotify.com/v1/tracks/3WEmAizxrtQwXEJQRwCrK1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3WEmAizxrtQwXEJQRwCrK1', 'duration_ms': 242121, 'time_signature': 4}]"
Somebody to Die For,0GDz2tPdh6FbxJxM75SQB4,Hurts,"[{'danceability': 0.426, 'energy': 0.599, 'key': 11, 'loudness': -7.737, 'mode': 1, 'speechiness': 0.0282, 'acousticness': 0.0198, 'instrumentalness': 0.00142, 'liveness': 0.366, 'valence': 0.102, 'tempo': 91.995, 'type': 'audio_features', 'id': '0GDz2tPdh6FbxJxM75SQB4', 'uri': 'spotify:track:0GDz2tPdh6FbxJxM75SQB4', 'track_href': 'https://api.spotify.com/v1/tracks/0GDz2tPdh6FbxJxM75SQB4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0GDz2tPdh6FbxJxM75SQB4', 'duration_ms': 275547, 'time_signature': 4}]"
Jai Ho! (You Are My Destiny),1domCrjxwdTsPWqVn2Ivc0,A.R. Rahman,"[{'danceability': 0.66, 'energy': 0.936, 'key': 11, 'loudness': -3.931, 'mode': 1, 'speechiness': 0.0624, 'acousticness': 0.0531, 'instrumentalness': 2.46e-06, 'liveness': 0.082, 'valence': 0.908, 'tempo': 136.19, 'type': 'audio_features', 'id': '1domCrjxwdTsPWqVn2Ivc0', 'uri': 'spotify:track:1domCrjxwdTsPWqVn2Ivc0', 'track_href': 'https://api.spotify.com/v1/tracks/1domCrjxwdTsPWqVn2Ivc0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1domCrjxwdTsPWqVn2Ivc0', 'duration_ms': 222413, 'time_signature': 4}]"
Don't Hold Your Breath,7pAq1IXYZpL42HchCminu6,Nicole Scherzinger,"[{'danceability': 0.66, 'energy': 0.797, 'key': 5, 'loudness': -6.096, 'mode': 0, 'speechiness': 0.0262, 'acousticness': 0.00646, 'instrumentalness': 0.000108, 'liveness': 0.187, 'valence': 0.674, 'tempo': 110.955, 'type': 'audio_features', 'id': '7pAq1IXYZpL42HchCminu6', 'uri': 'spotify:track:7pAq1IXYZpL42HchCminu6', 'track_href': 'https://api.spotify.com/v1/tracks/7pAq1IXYZpL42HchCminu6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7pAq1IXYZpL42HchCminu6', 'duration_ms': 197440, 'time_signature': 4}]"
When I Grow Up,7hFXQCDPgHhZQrC3vSM1o4,The Pussycat Dolls,"[{'danceability': 0.686, 'energy': 0.681, 'key': 11, 'loudness': -5.761, 'mode': 0, 'speechiness': 0.0471, 'acousticness': 0.00185, 'instrumentalness': 0, 'liveness': 0.395, 'valence': 0.366, 'tempo': 118.472, 'type': 'audio_features', 'id': '7hFXQCDPgHhZQrC3vSM1o4', 'uri': 'spotify:track:7hFXQCDPgHhZQrC3vSM1o4', 'track_href': 'https://api.spotify.com/v1/tracks/7hFXQCDPgHhZQrC3vSM1o4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7hFXQCDPgHhZQrC3vSM1o4', 'duration_ms': 245680, 'time_signature': 4}]"
I Gotta Feeling,4vp2J1l5RD4gMZwGFLfRAu,Black Eyed Peas,"[{'danceability': 0.743, 'energy': 0.766, 'key': 0, 'loudness': -6.375, 'mode': 1, 'speechiness': 0.0265, 'acousticness': 0.0873, 'instrumentalness': 0, 'liveness': 0.509, 'valence': 0.61, 'tempo': 127.96, 'type': 'audio_features', 'id': '4vp2J1l5RD4gMZwGFLfRAu', 'uri': 'spotify:track:4vp2J1l5RD4gMZwGFLfRAu', 'track_href': 'https://api.spotify.com/v1/tracks/4vp2J1l5RD4gMZwGFLfRAu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4vp2J1l5RD4gMZwGFLfRAu', 'duration_ms': 289133, 'time_signature': 4}]"
Halo,4JehYebiI9JE8sR8MisGVb,Beyoncé,"[{'danceability': 0.508, 'energy': 0.72, 'key': 11, 'loudness': -5.908, 'mode': 0, 'speechiness': 0.0628, 'acousticness': 0.272, 'instrumentalness': 0, 'liveness': 0.0563, 'valence': 0.472, 'tempo': 79.983, 'type': 'audio_features', 'id': '4JehYebiI9JE8sR8MisGVb', 'uri': 'spotify:track:4JehYebiI9JE8sR8MisGVb', 'track_href': 'https://api.spotify.com/v1/tracks/4JehYebiI9JE8sR8MisGVb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4JehYebiI9JE8sR8MisGVb', 'duration_ms': 261640, 'time_signature': 4}]"
Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,Justin Timberlake,"[{'danceability': 0.624, 'energy': 0.654, 'key': 8, 'loudness': -6.582, 'mode': 0, 'speechiness': 0.183, 'acousticness': 0.577, 'instrumentalness': 0, 'liveness': 0.104, 'valence': 0.564, 'tempo': 73.898, 'type': 'audio_features', 'id': '7Lf7oSEVdzZqTA0kEDSlS5', 'uri': 'spotify:track:7Lf7oSEVdzZqTA0kEDSlS5', 'track_href': 'https://api.spotify.com/v1/tracks/7Lf7oSEVdzZqTA0kEDSlS5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7Lf7oSEVdzZqTA0kEDSlS5', 'duration_ms': 288333, 'time_signature': 4}]"
"You're Gonna Go Far, Kid",1FMm3wG5WOhi7js35KR7Ea,The Offspring,"[{'danceability': 0.55, 'energy': 0.918, 'key': 9, 'loudness': -3.159, 'mode': 0, 'speechiness': 0.0682, 'acousticness': 0.00466, 'instrumentalness': 0, 'liveness': 0.206, 'valence': 0.563, 'tempo': 126.083, 'type': 'audio_features', 'id': '1FMm3wG5WOhi7js35KR7Ea', 'uri': 'spotify:track:1FMm3wG5WOhi7js35KR7Ea', 'track_href': 'https://api.spotify.com/v1/tracks/1FMm3wG5WOhi7js35KR7Ea', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1FMm3wG5WOhi7js35KR7Ea', 'duration_ms': 177827, 'time_signature': 4}]"
So What,6qYGUxPjQt5PJtWdiNppZx,P!nk,"[{'danceability': 0.535, 'energy': 0.887, 'key': 11, 'loudness': -3.106, 'mode': 1, 'speechiness': 0.0449, 'acousticness': 0.000304, 'instrumentalness': 2.23e-06, 'liveness': 0.257, 'valence': 0.445, 'tempo': 126.01, 'type': 'audio_features', 'id': '6qYGUxPjQt5PJtWdiNppZx', 'uri': 'spotify:track:6qYGUxPjQt5PJtWdiNppZx', 'track_href': 'https://api.spotify.com/v1/tracks/6qYGUxPjQt5PJtWdiNppZx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6qYGUxPjQt5PJtWdiNppZx', 'duration_ms': 215160, 'time_signature': 4}]"
"Whenever, Wherever",0RJWhctsc1G1Hg3Ov2th7x,Shakira,"[{'danceability': 0.793, 'energy': 0.831, 'key': 1, 'loudness': -4.861, 'mode': 0, 'speechiness': 0.0405, 'acousticness': 0.264, 'instrumentalness': 7.03e-06, 'liveness': 0.207, 'valence': 0.865, 'tempo': 107.645, 'type': 'audio_features', 'id': '0RJWhctsc1G1Hg3Ov2th7x', 'uri': 'spotify:track:0RJWhctsc1G1Hg3Ov2th7x', 'track_href': 'https://api.spotify.com/v1/tracks/0RJWhctsc1G1Hg3Ov2th7x', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0RJWhctsc1G1Hg3Ov2th7x', 'duration_ms': 197027, 'time_signature': 4}]"
